Element Id,Category,Type Name,Family Name,X,Y,Z,CED-E-MCA,CED-E-MOCP,MCA_CED,MOCP_CED
4939929,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,153.24600550899461,57.127652627598792,100.00000000000077,,,,
4940019,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,166.07571116845452,69.127652627598806,100.00000000000077,,,,
4940026,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,166.15505001077952,57.127652627598806,100.00000000000077,,,,
4940075,Mechanical Equipment,8',CED-R-Hussmann ID5SL,51.603626975799195,137.48876981399229,100.00000000000077,,,,
4940078,Mechanical Equipment,8',CED-R-Hussmann ID5SL,51.603626975799294,145.73876981399246,100.00000000000077,,,,
4940898,Mechanical Equipment,GHD36A-198,CED-R-KRACK GHD3XX,143.22057553663743,-8.3660798181431737,110.00000000000077,,,,
4941332,Mechanical Equipment,KRD26A-125,CED-R-KRACK KRD2XX,44.556666666665699,33.00355883533377,110.00000000000077,,,,
4941340,Mechanical Equipment,KRD36A-134,CED-R-KRACK KRD3XX,29.149387777636299,69.28586514372229,110.00000000000077,,,,
4941345,Mechanical Equipment,KRD36A-170,CED-R-KRACK KRD3XX,29.149387777636321,61.560698477055517,110.00000000000077,,,,
4941362,Mechanical Equipment,KRD26A-089,CED-R-KRACK KR2XX,14.72011694430004,69.418865143722428,110.00000000000077,,,,
4941372,Mechanical Equipment,GHD46A-270,CED-R-KRACK GHD4XX,5.4062034427978611,59.135336497889028,110.00000000000077,,,,
4941378,Mechanical Equipment,GHD56A-340,CED-R-KRACK GHD5XX,14.947864340133901,75.189698477054151,110.00000000000077,,,,
4941388,Mechanical Equipment,KRD56A-242,CED-R-KRACK KRD5XX,3.1605138134395516,90.168540143722652,110.00000000000077,,,,
4941458,Mechanical Equipment,KRD66A-340,CED-R-KRACK KRD6XX,3.1605138134395268,101.32520681038929,110.00000000000077,,,,
4941913,Mechanical Equipment,GHD36A-198,CED-R-KRACK GHD3XX,57.72864245283597,118.74574867647917,110.00000000000077,,,,
4941977,Mechanical Equipment,GHD56A-340,CED-R-KRACK GHD5XX,68.704618786320097,121.876394784528,110.00000000000077,,,,
4942080,Mechanical Equipment,GHD56A-340,CED-R-KRACK GHD5XX,68.704618786320225,137.43595724970342,110.00000000000077,,,,
4942308,Mechanical Equipment,GHD36A-198,CED-R-KRACK GHD3XX,57.72864245283602,133.37639478453048,110.00000000000077,,,,
4942357,Mechanical Equipment,KRD36A-170,CED-R-KRACK KRD3XX,60.80990773856778,147.25304058303811,110.00000000000077,,,,
4942407,Mechanical Equipment,KRD44E-148,CED-R-KRACK KRD4XX,67.188219751341492,152.72304058303538,110.00000000000077,,,,
4942433,Mechanical Equipment,GHD56A-340,CED-R-KRACK GHD5XX,75.890689604373776,147.7659194406051,110.00000000000077,,,,
4942446,Mechanical Equipment,KRD64E-220,CED-R-KRACK KRD6XX,57.260179120485176,163.77342528899806,110.00000000000077,,,,
4942508,Mechanical Equipment,GHD36A-198,CED-R-KRACK GHD3XX,73.830743949404393,175.48452589794661,110.00000000000077,,,,
4942516,Mechanical Equipment,GHD46A-270,CED-R-KRACK GHD4XX,63.8569910719009,188.30086684543986,110.00000000000077,,,,
4942522,Mechanical Equipment,GHD36A-198,CED-R-KRACK GHD3XX,64.606991071900907,198.51579184544008,110.00000000000077,,,,
4942535,Mechanical Equipment,GHD36D-198,CED-R-KRACK GHD3XX,64.606991071900936,208.7307168454403,110.00000000000077,,,,
4942568,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,57.14559578714502,222.90793808871138,110.00000000000077,,,,
4942575,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,57.145595787145041,237.42387142204467,110.00000000000077,,,,
4942582,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,77.117344751335864,249.41344392189646,110.00000000000077,,,,
4942589,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,61.651389092403548,249.41344392189652,110.00000000000077,,,,
4942605,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,261.02759113498979,271.6810175266728,110.00000000000077,,,,
4942612,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,273.07073238498975,271.68101752667275,110.00000000000077,,,,
4942619,Mechanical Equipment,KRD54E-185,CED-R-KRACK KRD5XX,285.11387363498966,271.68101752667269,110.00000000000077,,,,
4942629,Mechanical Equipment,KRD44E-148,CED-R-KRACK KRD4XX,300.1017041416967,264.877854957701,110.00000000000077,,,,
